Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Comments,Answer,Visit Summary
FC Oxford,20771796,2026-04-13 19:30:00,100.0,10.0,JAS was amazing and friendly!,Yes,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"",5,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"",No,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"",Search Engine,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"",Team friendliness,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"",Wanted to try something new,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"",Yes,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,"","Yes, but I'd like to know more",
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,Great experience,10,
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,Jazz,"",
FC Oxford,20771798,2026-04-13 19:30:00,100.0,10.0,Jazz was very friendly and welcoming,Yes,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"","",
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",4,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",5,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",I'm not sure what that is,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",No,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",Small group (1-32 guests),
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",Value for money,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",Word of mouth,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",Work event,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,"",Yes,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,Funny professional and friendly,Yes,
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,Jas,"",
FC Oxford,20771800,2026-04-13 19:00:00,97.6,10.0,Jas was lovely,10,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"",4,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"",5,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"",Atmosphere,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"",I'm not sure what that is,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"",No,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"",Small group (1-32 guests),
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"",Yes,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,From a friend,Other,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"I really like the atmosphere here, the balcony is beautiful and very good service","",
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,My friend invited me here,Other,
FC Oxford,20771820,2026-04-13 18:00:00,92.7,9.0,"Very happy day, thanks for the treat!",9,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",5,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",I've been before,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",No,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",Team friendliness,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",Word of mouth,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"",Yes,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,Jaz and Isaiah,"",
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"Jaz was exceptional, she cleared up my smashed glass. Isaiah was fabulous, he offered me a great food recommendation, the service was super quick. Will be back again!!!",10,
FC Oxford,20772016,2026-04-13 17:30:00,100.0,10.0,"The service was exceptional, jaz and Isaiah were superstars!",Yes,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",5,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",I've been before,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",No,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",Team friendliness,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",Word of mouth,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,"",Yes,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,Jasmin,"",
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,Jasmin was amazing! Very kind,Yes,
FC Oxford,20772592,2026-04-13 20:30:00,100.0,10.0,We had a great time.,10,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",5,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",Friend or colleague recommendation,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",No,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",Social Media,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",Team friendliness,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,"",Yes,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,Cool.,10,
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,Jasmin,"",
FC Oxford,20772593,2026-04-13 21:00:00,100.0,10.0,So cool. I recomended the experience.,Yes,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",5,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",I've been before,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",No,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",Team friendliness,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",Word of mouth,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"",Yes,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,"Amazing customer service, very helpful and welcoming.",Yes,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,Amazing experience,10,
FC Oxford,20772596,2026-04-13 20:00:00,100.0,10.0,Jasmin,"",
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",4,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",5,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",I'm not sure what that is,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",I've been before,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",No,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",Small group (1-32 guests),
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",Team friendliness,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",Word of mouth,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,"",Yes,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,Great,Yes,
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,Jasmin is very cool,"",
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,No,"",
FC Oxford,20772598,2026-04-13 20:30:00,97.2,10.0,Very good,10,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",5,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",I'm not sure what that is,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",I've been before,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",No,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",Small group (1-32 guests),
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",Social Media,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",Team friendliness,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,"",Yes,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,Jasmin,"",
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,jasmin was AMAZING!!! Super friendly and polite! Made our experience even more special,7,
FC Oxford,20772601,2026-04-13 20:00:00,92.7,7.0,jasmin was AMAZING!!! Super friendly and polite! Made our experience even more special,Yes,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,"",5,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,"",Bar,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,"",Friend or colleague recommendation,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,"",Gaming,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,"",No,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,"",Yes,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,Friend,Other,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,Jasmin,"",
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,Nada. Tudo perfeito,"",
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,Ótimo atendimento e educação,Yes,
FC Oxford,20772605,2026-04-13 21:00:00,100.0,10.0,Ótimo lugar! O jogo de dardos é muito divertido com o grupo. Ótima variedade de produtos e excelente atendimento,10,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",5,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",I've been before,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",No,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",Team friendliness,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",Word of mouth,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"",Yes,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,Jas,"",
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,served with a smile and enthusiastically,Yes,
FC Oxford,20772619,2026-04-13 21:00:00,100.0,10.0,"team were brilliant, especially jas, couldn’t ask for more from a night out",10,
FC Oxford,20795931,2026-04-14 16:35:00,100.0,,"Super night out with friends playing darts 🎯 , cocktails and pizza were great too, definitely would recommend.","",""
FC Oxford,20805832,2026-04-15 09:04:00,100.0,,"If you're in Oxford, UK, you definitely need to go to Fight Club! It's an excellent place for group/family fun and offers great service.","",""
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",5,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",Event (33+ guests),
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",I'm not sure what that is,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",I've been before,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",No,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",Search Engine,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",Team friendliness,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"",Yes,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,Connor and Mia,"",
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,"Connor and Mia were great. We love the games, food, drink and overall nice option for our work social",Yes,
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,It was our third visit for our work social event. We love it and Connor and Mia are always so friendly. Thank you.,"",
FC Oxford,20806145,2026-04-13 18:30:00,97.8,9.0,We had a great time as always,9,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",4,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",5,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",Atmosphere,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",Friend or colleague recommendation,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",I'm not sure what that is,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",No,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",Small group (1-32 guests),
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",Word of mouth,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,"",Yes,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,Isaiah,"",
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,Kind and efficient,Yes,
FC Oxford,20808387,2026-04-15 19:00:00,95.1,10.0,So fun every time!!,10,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",5,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",No,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",Team attentiveness,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",Word of mouth,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",Work event,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,"",Yes,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,A great night out!,10,
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,Isaiah,"",
FC Oxford,20808445,2026-04-15 22:00:00,100.0,10.0,Isaiah was great and ensured we had a great night - he was so friendly and helpful!,Yes,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",4,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",5,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",I'm not sure what that is,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",No,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",Small group (1-32 guests),
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",Team attentiveness,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",Work event,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"",Yes,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,Amazing customer service skills,Yes,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,Esaiah,"",
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,"Esaiah was an amazing host, provided excellent customer service.",10,
FC Oxford,20808447,2026-04-15 18:30:00,97.6,10.0,Someone else booked it,Other,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",3,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",4,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",5,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",I'm not sure what that is,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",No,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",Quality,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",Small group (1-32 guests),
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",Team friendliness,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",Word of mouth,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",Work event,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"",Yes,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,"Attentive, interesting, on it!",Yes,
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,Isiah,"",
FC Oxford,20808522,2026-04-15 18:00:00,93.5,10.0,Isiah was brilliant,10,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"",5,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"",No,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"",Team friendliness,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"",Wanted to try something new,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"",Word of mouth,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"",Yes,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"","Yes, but I'd like to know more",
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,Jas,"",
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,jas was absolutely amazing,10,
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,"jes was absolutely amazing and so kind to us, she was instant with everything. she came whenever we had an issue and sorted it out instantly . to be honest best employee ever.","",
FC Oxford,20808667,2026-04-15 22:00:00,100.0,10.0,She was very attentive,Yes,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",5,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",No,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",Other special occasion,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",Quality of food and drink,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",Word of mouth,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,"",Yes,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,I loved it,10,
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,Isaiah,"",
FC Oxford,20812718,2026-04-15 19:30:00,100.0,10.0,Service was amazing- really lovely and calm and allowed extra time for the games,Yes,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"",5,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"",No,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"",Value for money,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"",Word of mouth,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"",Work event,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"",Yes,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,"","Yes, but I'd like to know more",
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,Great place.  Fun. Value for money. Great staff,10,
FC Oxford,20816331,2026-04-15 16:00:00,100.0,10.0,Great venue.  Very accommodating.  Great value for money,"",
FC Oxford,20817589,2026-04-16 10:47:00,100.0,,Great place to go as a group.  We were accommodated without a booking.  Service was fantastic and the games were fun.  Will be returning,"",""
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",5,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",Bar,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",No,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",Social Media,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",Team attentiveness,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",Wanted to try something new,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,"",Yes,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,Safae and onyx,"",
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,Safae and onyx were very friendly and welcoming,10,
FC Oxford,20819277,2026-04-16 16:30:00,100.0,10.0,Safae and onyx were very friendly and welcoming,Yes,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",5,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",Friend or colleague recommendation,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",No,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",Team friendliness,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",Word of mouth,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,"",Yes,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,cant remember,"",
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,Great!,10,
FC Oxford,20819582,2026-04-16 20:00:00,100.0,10.0,Very happy,Yes,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",5,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",I'm not sure what that is,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",No,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",Team friendliness,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",Word of mouth,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",Work event,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"",Yes,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,Great,10,
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,Safae,"",
FC Oxford,20820568,2026-04-16 19:30:00,100.0,10.0,"Safae was amazing, highly recommend",Yes,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",5,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",I've been before,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",Moderately important,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",No,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",Small group (1-32 guests),
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",Value for money,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",Word of mouth,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,"",Yes,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,Great fun,10,
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,Jaz,"",
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,Jaz was great,"",
FC Oxford,20829947,2026-04-17 14:30:00,100.0,10.0,Jaz was great.  Birthday cake was lush,Yes,
FC Oxford,20829955,2026-04-17 16:00:00,100.0,10.0,"",5,
FC Oxford,20829955,2026-04-17 16:00:00,100.0,10.0,"",Friend or colleague recommendation,
