Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Comments
FC Oxford,20907087,2026-04-23 08:33:00,100.0,,"Such a fun way to spend time with friends, customer service was top notch! Will definately be back."
FC Oxford,20908901,2026-04-23 18:30:00,100.0,10.0,""
FC Oxford,20908901,2026-04-23 18:30:00,100.0,10.0,"Dear Sidra,I really enjoyed playing darts at FC Oxford. Had a fun time ordering a buch of cocktails. She guided me through all the options and really did vibe.Wish you the best! Yours truly"
FC Oxford,20908901,2026-04-23 18:30:00,100.0,10.0,Sidra
FC Oxford,20908901,2026-04-23 18:30:00,100.0,10.0,Sidra in general
FC Oxford,20908901,2026-04-23 18:30:00,100.0,10.0,Sidra took all my orders without hesitation or complaints.
FC Oxford,20918000,2026-04-24 12:00:00,100.0,10.0,""
FC Oxford,20918000,2026-04-24 12:00:00,100.0,10.0,Great date day
FC Oxford,20918000,2026-04-24 12:00:00,100.0,10.0,Isaiah Phil
FC Oxford,20918000,2026-04-24 12:00:00,100.0,10.0,Isaiah was great Phil was great
FC Oxford,20918000,2026-04-24 12:00:00,100.0,10.0,None
FC Oxford,20918019,2026-04-23 18:00:00,89.1,9.0,""
FC Oxford,20918019,2026-04-23 18:00:00,89.1,9.0,Exactly what I was looking for to hold our company Spring Challenge event and bring everyone together.  Zoe did a great job helping me arrange beforehand and our host did a fantastic job keeping the spirit going.
FC Oxford,20918019,2026-04-23 18:00:00,89.1,9.0,"We had a fantastic night, I just wish the vegetarian food had been placed in a way that prevented it being eaten by others, it should have been placed seperately to avoid it being eaten."
FC Oxford,20918504,2026-04-24 15:00:00,90.3,9.0,""
FC Oxford,20918504,2026-04-24 15:00:00,90.3,9.0,Helpful with checking in and making sure everything was catered for
FC Oxford,20918504,2026-04-24 15:00:00,90.3,9.0,Justin
FC Oxford,20918504,2026-04-24 15:00:00,90.3,9.0,Quick service and helpful
FC Oxford,20918777,2026-04-24 14:00:00,100.0,10.0,""
FC Oxford,20918777,2026-04-24 14:00:00,100.0,10.0,amazing
FC Oxford,20918777,2026-04-24 14:00:00,100.0,10.0,NA
FC Oxford,20918777,2026-04-24 14:00:00,100.0,10.0,Very good service
FC Oxford,20918897,2026-04-24 15:30:00,97.6,10.0,""
FC Oxford,20918897,2026-04-24 15:30:00,97.6,10.0,Easy smooth and very fun
FC Oxford,20918897,2026-04-24 15:30:00,97.6,10.0,Isaiah
FC Oxford,20918897,2026-04-24 15:30:00,97.6,10.0,Key to detail/standing on queue if needed and when needed at our station for darts paying attention to when drinks are empty offering services without having to call over he done a excellent job
FC Oxford,20919635,2026-04-24 18:00:00,100.0,10.0,""
FC Oxford,20919635,2026-04-24 18:00:00,100.0,10.0,Connor
FC Oxford,20919635,2026-04-24 18:00:00,100.0,10.0,So fun
FC Oxford,20919635,2026-04-24 18:00:00,100.0,10.0,So helpful with drinks
FC Oxford,20919647,2026-04-24 18:00:00,91.3,8.0,""
FC Oxford,20919647,2026-04-24 18:00:00,91.3,8.0,Connor
FC Oxford,20919647,2026-04-24 18:00:00,91.3,8.0,Connor was so lovely and helped with all questions!
FC Oxford,20919647,2026-04-24 18:00:00,91.3,8.0,He consistently helped and went above and beyond beyond to help with drink choices
FC Oxford,20919647,2026-04-24 18:00:00,91.3,8.0,So slay
FC Oxford,20919715,2026-04-24 19:00:00,97.6,10.0,""
FC Oxford,20919715,2026-04-24 19:00:00,97.6,10.0,Connor
FC Oxford,20919715,2026-04-24 19:00:00,97.6,10.0,"Really friendly and attentative, great experience"
FC Oxford,20919715,2026-04-24 19:00:00,97.6,10.0,Really friendly and great.
FC Oxford,20919716,2026-04-24 19:00:00,97.2,9.0,""
FC Oxford,20919716,2026-04-24 19:00:00,97.2,9.0,Connor
FC Oxford,20919716,2026-04-24 19:00:00,97.2,9.0,Very good
FC Oxford,20919716,2026-04-24 19:00:00,97.2,9.0,Very nice and helpful
FC Oxford,20919728,2026-04-24 17:30:00,100.0,10.0,""
FC Oxford,20919728,2026-04-24 17:30:00,100.0,10.0,Connor
FC Oxford,20919728,2026-04-24 17:30:00,100.0,10.0,Connor looked after us even though we were a very difficult group to deal with as there was so many of us and we’re all recently 18. We appreciated his accommodation
FC Oxford,20919728,2026-04-24 17:30:00,100.0,10.0,Connor was very attentive and looked after us even though we were a big group and probably very inconvenient
FC Oxford,20919729,2026-04-24 17:30:00,90.2,9.0,""
FC Oxford,20919729,2026-04-24 17:30:00,90.2,9.0,Brilliant
FC Oxford,20919729,2026-04-24 17:30:00,90.2,9.0,Connor
FC Oxford,20919729,2026-04-24 17:30:00,90.2,9.0,Good banter and great service
FC Oxford,20919729,2026-04-24 17:30:00,90.2,9.0,Smooth throughout good games good food
FC Oxford,20919764,2026-04-24 15:00:00,100.0,10.0,""
FC Oxford,20919764,2026-04-24 15:00:00,100.0,10.0,Been before
FC Oxford,20919764,2026-04-24 15:00:00,100.0,10.0,Connor
FC Oxford,20919764,2026-04-24 15:00:00,100.0,10.0,great service
FC Oxford,20919764,2026-04-24 15:00:00,100.0,10.0,I had a great time
FC Oxford,20919808,2026-04-24 19:00:00,100.0,10.0,""
FC Oxford,20919808,2026-04-24 19:00:00,100.0,10.0,Connor
FC Oxford,20919808,2026-04-24 19:00:00,100.0,10.0,Had an amazing experience! I would highly recommend a friend because of the service !
FC Oxford,20919808,2026-04-24 19:00:00,100.0,10.0,Their customer service was outstanding and made the experience even better!
FC Oxford,20920327,2026-04-24 17:18:00,100.0,,Amazing darts game had Mia and Wilson look out for us very friendly and quick
FC Oxford,20921237,2026-04-24 22:00:00,97.2,9.0,""
FC Oxford,20921237,2026-04-24 22:00:00,97.2,9.0,Alicia
FC Oxford,20921237,2026-04-24 22:00:00,97.2,9.0,"Excellent service, everyone thought she was great"
FC Oxford,20921237,2026-04-24 22:00:00,97.2,9.0,Great
FC Oxford,20921237,2026-04-24 22:00:00,97.2,9.0,None
FC Oxford,20921247,2026-04-24 21:30:00,100.0,10.0,""
FC Oxford,20921247,2026-04-24 21:30:00,100.0,10.0,Connor
FC Oxford,20921247,2026-04-24 21:30:00,100.0,10.0,Guy that was dealing was great
FC Oxford,20921247,2026-04-24 21:30:00,100.0,10.0,He was attentive constantly asking if we needed anything Everything you need in a person dealing with a big group Absolute statement to the company
FC Oxford,20921247,2026-04-24 21:30:00,100.0,10.0,The guy that was dealing with us was amazing
FC Oxford,20921270,2026-04-24 21:00:00,100.0,10.0,""
FC Oxford,20921270,2026-04-24 21:00:00,100.0,10.0,Best experience with Mia
FC Oxford,20921270,2026-04-24 21:00:00,100.0,10.0,Mia
FC Oxford,20921270,2026-04-24 21:00:00,100.0,10.0,Mia was the hostess with the mostess she went above and beyond to make our experience so fun and engertic so friendly and accommodating and such a vibe
FC Oxford,20921270,2026-04-24 21:00:00,100.0,10.0,social media
FC Oxford,20921271,2026-04-24 21:30:00,94.4,10.0,""
FC Oxford,20921271,2026-04-24 21:30:00,94.4,10.0,Amazing night
FC Oxford,20921271,2026-04-24 21:30:00,94.4,10.0,Friend
FC Oxford,20921271,2026-04-24 21:30:00,94.4,10.0,Friends birthday
FC Oxford,20921271,2026-04-24 21:30:00,94.4,10.0,Mia
FC Oxford,20921271,2026-04-24 21:30:00,94.4,10.0,Mia has been amazing! So thankful she was here to serve us
FC Oxford,20921271,2026-04-24 21:30:00,94.4,10.0,So friendly and made such an amazing experience
FC Oxford,20921272,2026-04-24 21:00:00,100.0,10.0,""
FC Oxford,20921272,2026-04-24 21:00:00,100.0,10.0,Felt welcomed and loved
FC Oxford,20921272,2026-04-24 21:00:00,100.0,10.0,"Made our night, better! Made us feel welcome and really gave flight club a name for hospitality"
FC Oxford,20921272,2026-04-24 21:00:00,100.0,10.0,Mai
FC Oxford,20921313,2026-04-24 13:30:00,100.0,10.0,""
FC Oxford,20921313,2026-04-24 13:30:00,100.0,10.0,Isaiah
FC Oxford,20921313,2026-04-24 13:30:00,100.0,10.0,"Isaiah was spectacular! Service was great, we told him what we normally have for a base alcohol RE Cocktails, and he gave recommendations that suited our needs perfectly! Amazing job"
FC Oxford,20921313,2026-04-24 13:30:00,100.0,10.0,"The best experience, from the darts, to the food and drink! Isaiah was amazing"
FC Oxford,20921336,2026-04-24 16:30:00,100.0,10.0,""
FC Oxford,20921336,2026-04-24 16:30:00,100.0,10.0,Beg for a 5 star
FC Oxford,20921336,2026-04-24 16:30:00,100.0,10.0,Cpl Harvey and cpl brown enjoyed this
FC Oxford,20921336,2026-04-24 16:30:00,100.0,10.0,Jas
FC Oxford,20921336,2026-04-24 16:30:00,100.0,10.0,Nope
FC Oxford,20921340,2026-04-24 21:30:00,100.0,10.0,""
FC Oxford,20921340,2026-04-24 21:30:00,100.0,10.0,Jas
FC Oxford,20921340,2026-04-24 21:30:00,100.0,10.0,Superb service
FC Oxford,20921340,2026-04-24 21:30:00,100.0,10.0,Very enjoyable thanks to friendly staff.
FC Oxford,20921348,2026-04-24 23:00:00,100.0,10.0,""
FC Oxford,20921348,2026-04-24 23:00:00,100.0,10.0,Amazing service! Couldn’t do enough for us! Food and drinks were delivered on time.
FC Oxford,20921348,2026-04-24 23:00:00,100.0,10.0,Darts was so fun
FC Oxford,20921348,2026-04-24 23:00:00,100.0,10.0,Jas
FC Oxford,20921348,2026-04-24 23:00:00,100.0,10.0,We had an awesome time
FC Oxford,20921427,2026-04-24 23:30:00,100.0,10.0,""
FC Oxford,20921427,2026-04-24 23:30:00,100.0,10.0,My server Wilson was incredible
FC Oxford,20921427,2026-04-24 23:30:00,100.0,10.0,They had great speedy service made it all feel very seamless
FC Oxford,20921427,2026-04-24 23:30:00,100.0,10.0,Wilson
FC Oxford,20931147,2026-04-25 11:30:00,100.0,10.0,""
FC Oxford,20931147,2026-04-25 11:30:00,100.0,10.0,A fun time with great staff
FC Oxford,20931147,2026-04-25 11:30:00,100.0,10.0,Great communications and a great laugh
FC Oxford,20931147,2026-04-25 11:30:00,100.0,10.0,Isaiah
FC Oxford,20931151,2026-04-25 12:30:00,100.0,10.0,""
FC Oxford,20931151,2026-04-25 12:30:00,100.0,10.0,Been before
FC Oxford,20931151,2026-04-25 12:30:00,100.0,10.0,great time thank you
FC Oxford,20931151,2026-04-25 12:30:00,100.0,10.0,Isaiah
FC Oxford,20931151,2026-04-25 12:30:00,100.0,10.0,Very friendly and attentive
FC Oxford,20931156,2026-04-25 12:30:00,83.3,9.0,""
FC Oxford,20931156,2026-04-25 12:30:00,83.3,9.0,5
FC Oxford,20931156,2026-04-25 12:30:00,83.3,9.0,Isaiah
FC Oxford,20931156,2026-04-25 12:30:00,83.3,9.0,Very polite and great service
FC Oxford,20932460,2026-04-25 17:30:00,94.4,10.0,""
FC Oxford,20932460,2026-04-25 17:30:00,94.4,10.0,Made a custom cocktail
FC Oxford,20932460,2026-04-25 17:30:00,94.4,10.0,Personalised service
FC Oxford,20932460,2026-04-25 17:30:00,94.4,10.0,Phill. Handsome guy with a moustache and cool hair
FC Oxford,20934941,2026-04-26 01:00:00,95.1,9.0,""
FC Oxford,20934941,2026-04-26 01:00:00,95.1,9.0,It wa a good
FC Oxford,20934941,2026-04-26 01:00:00,95.1,9.0,Phil was amazing but looked so sleepy as he is not paid enough or given enough brakes. I wish I had his skin care routine the man looks amazing. Phil deserves the world. I love Phil. Phil is the best
FC Oxford,20934942,2026-04-26 01:00:00,100.0,10.0,""
FC Oxford,20934942,2026-04-26 01:00:00,100.0,10.0,He looked terrific and served us extremely well.
FC Oxford,20934942,2026-04-26 01:00:00,100.0,10.0,Phil
FC Oxford,20934942,2026-04-26 01:00:00,100.0,10.0,Phil is the best man I've ever met in my life
FC Oxford,20934942,2026-04-26 01:00:00,100.0,10.0,"Phil was terrific, he deserves a raise for his his diligence and care, his poetry is the best I've ever heard"
FC Oxford,20934942,2026-04-26 01:00:00,100.0,10.0,Phil's reputation
FC Oxford,20945557,2026-04-26 14:00:00,100.0,10.0,""
FC Oxford,20945557,2026-04-26 14:00:00,100.0,10.0,Attentive
FC Oxford,20945557,2026-04-26 14:00:00,100.0,10.0,Connor
FC Oxford,20945557,2026-04-26 14:00:00,100.0,10.0,Connor was great
FC Oxford,20945557,2026-04-26 14:00:00,100.0,10.0,He was great and attentive! Deserves a promotion
FC Oxford,20945696,2026-04-26 12:00:00,91.7,9.0,""
FC Oxford,20945696,2026-04-26 12:00:00,91.7,9.0,A larger section of dart games would be great.
FC Oxford,20945696,2026-04-26 12:00:00,91.7,9.0,Bell
FC Oxford,20945696,2026-04-26 12:00:00,91.7,9.0,Bell stood out for being really welcoming and friendly from the start. She explained everything clearly and made the whole experience feel comfortable and enjoyable.
FC Oxford,20945696,2026-04-26 12:00:00,91.7,9.0,"Great experience at Flight Club, really fun atmosphere and the darts games are genuinely enjoyable. Staff were friendly throughout and everything ran smoothly. Would definitely come back."
FC Oxford,20945778,2026-04-24 19:00:00,84.8,8.0,""
FC Oxford,20945778,2026-04-24 19:00:00,84.8,8.0,"As a group of 13 each buying drinks/food individually there needs to be a better way of ensuring people get their correct order. One person was given a “gin and tonic” which she assumed was the zero gin she had ordered - but it was alcoholic. Someone else got the zero gin before it was realised. I received the wrong food order as “sliders” were announced which I assumed were my steak sliders, but they were chicken and I ate them leaving the other person that doesn’t eat red meat without food. Simply adding a name to an order will combat these issues as just shouting the order when people are talking and all spread out didn’t work as we had no idea what each other had ordered so assumed it was for you. This could lead to serious allergy issues."
FC Oxford,20945778,2026-04-24 19:00:00,84.8,8.0,Been before
FC Oxford,20945778,2026-04-24 19:00:00,84.8,8.0,See last comment
FC Oxford,20946492,2026-04-26 17:30:00,95.1,10.0,""
FC Oxford,20946492,2026-04-26 17:30:00,95.1,10.0,Connor
FC Oxford,20946492,2026-04-26 17:30:00,95.1,10.0,Connor was really friendly and explained everything clearly!
FC Oxford,20946492,2026-04-26 17:30:00,95.1,10.0,Great experience
FC Oxford,20948281,2026-04-26 22:00:00,95.7,8.0,""
FC Oxford,20948281,2026-04-26 22:00:00,95.7,8.0,Always attentive
FC Oxford,20948281,2026-04-26 22:00:00,95.7,8.0,It was an awesome experience
FC Oxford,20948281,2026-04-26 22:00:00,95.7,8.0,Safae
