Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Area,Comments,Visit Summary,Answer,Visit Type,Visit Source,Feedback Category
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The exterior looked clean and tidy.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Excellent,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The female toilets were clean and well maintained.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The food and drinks arrived within 15-20 minutes which was great.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The Oche looked clean and tidy.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Excellent,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The pepperoni pizza lacked cheese but overall all pizzas were well cooked and the ingredients well assembled. The two burgers likewise tasted fresh and the chips were well cooked.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",4,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The pizzas needed more cheese.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.","",Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,"The Red wine, white wine, pina colada, alcohol free beer and two pints were served correctly and tasted delicious. The temperature was excellent.","This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",5,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The refund was confirmed within a few seconds.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The server asked in a warm manner how everything was.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The server thanked in a warm manner.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The service was very attentive.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The staff member seemed confident when dealing with the allergy.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The team seemed joyful and friendly.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The team seemed to be working together well to ensure effortless service.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The team was warm and friendly.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Excellent,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The venue was clean and well maintained.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Excellent,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,The welcome was warm and genuine.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19239548,2026-01-25 19:30:00,99.2,10.0,Steve Beck,We received a warm farewell.,"This visit to the Flightclub was a pleasant experience. Upon arrival, we were welcomed in a warm manner and given a buzzer. I made the booking initially via the website but moved it via email to a slightly later time, which was no problem. The service was good and attentive at all times. The food arrived on time. Two burgers we wanted to order were not available, and the Tandori pizza was not available as a gluten-free option. The venue had a great ambience and was clean and well-maintained. We received an additional 20 minutes for free, which was great.",Yes,Visit Assessment,,
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,4,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,5,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,Gaming,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,I've been before,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,No,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,Word of mouth,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,"",,Yes,Guest Survey,Reservation,No
FC Birmingham,19346174,2025-12-29 12:30:00,97.2,10.0,Steve Beck,Great fun.,,10,Guest Survey,Reservation,No
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,4,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,5,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,I've been before,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,No,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,Speed of service,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,Word of mouth,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,"",,Yes,Guest Survey,Reservation,Yes
FC Birmingham,19351918,2025-12-30 18:00:00,90.2,9.0,Steve Beck,Had to wait a while for drinks as was very busy,,9,Guest Survey,Reservation,Yes
FC Birmingham,19358522,2025-12-31 18:49:00,100.0,,Steve Beck,Great experience defo going to come back,"","",Social Review,Google,
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,Brunch,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,I've been before,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,Social Media,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,Value for money,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,Don’t know their names unfortunately,,"",Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"Excellent service from all staff on New Years Eve,All went above and beyond to make sure everything was ok, even helped us move tables afterwards.",,Yes,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,"Had a fabulous New Year’s Eve, excellent service and value for money. I would select all of the above options if I could.",,10,Guest Survey,Reservation,Yes
FC Birmingham,19360952,2025-12-31 19:30:00,100.0,10.0,Steve Beck,Would’ve liked a little longer playing actual darts as the booking was for 2 hours only 1 hour was to play darts.,,"",Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,Gaming,Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,Other special occasion,Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,Word of mouth,Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,I don't know if you add new games but it would be great if you did!,,"",Guest Survey,Reservation,Yes
FC Birmingham,19360956,2025-12-31 12:00:00,100.0,10.0,Steve Beck,"Love the variety of games. Love that the dart board calculates your scores, and also really enjoyed receiving the story",,10,Guest Survey,Reservation,Yes
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,Team friendliness,Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,Word of mouth,Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,Work event,Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,Reservation,No
FC Birmingham,19365002,2025-12-30 15:30:00,100.0,10.0,Steve Beck,First time visit. Very well organised and great fun.,,10,Guest Survey,Reservation,No
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,Team friendliness,Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,Wanted to try something new,Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,Word of mouth,Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,Reservation,Yes
FC Birmingham,19365032,2025-12-31 00:00:00,100.0,10.0,Steve Beck,1st team will defo be back again,,10,Guest Survey,Reservation,Yes
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,Bar,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,I've been before,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,Team friendliness,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,Word of mouth,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,Other,No
FC Birmingham,19365452,2026-01-01 17:30:00,100.0,10.0,Steve Beck,"Friendly team and the venue was a bit busy compared with other venues in the area , we liked that",,10,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,Friend or colleague recommendation,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,Team friendliness,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,Word of mouth,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,"Came with a few friends , had a few drinks and had a real good time on the darts",,10,Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,Gracie,,"",Guest Survey,Other,No
FC Birmingham,19365459,2026-01-01 19:00:00,100.0,10.0,Steve Beck,Gracie was an excellent server who provided good service and was very knowledgable on he menu which was very helpful for us,,Yes,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,I'm not sure what that is,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,Social Media,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,Team friendliness,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,Wanted to try something new,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,Cain,,"",Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,Cain was an incredibly attentive staff member who helped me with my request. He made my experience. I will be visiting again!,,Yes,Guest Survey,Other,No
FC Birmingham,19365464,2026-01-01 18:30:00,100.0,10.0,Steve Beck,I had an incredible experience at flight club Birmingham. I’m new to the city and this establishment has given me nothing but high hopes for my time here.,,10,Guest Survey,Other,No
FC Birmingham,19366800,2026-01-02 00:14:00,60.0,,Steve Beck,"","","",Social Review,Google,
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,5,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,Friend or colleague recommendation,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,No,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,Slightly important,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,Small group (1-32 guests),Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,Social Media,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,Speed of service,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,"",,Yes,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,Very good,,10,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,very nice,,Yes,Guest Survey,,No
FC Birmingham,19374697,2026-01-02 13:30:00,100.0,10.0,Steve Beck,Zaid,,"",Guest Survey,,No
